HoofdlemmaURL;Hoofdlemma;Literatuur;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04480.php;volksprent; J.F. Heijbroek, ‘De collectie volksprenten’ in Bulletin Rijksmuseum 32 (1984) 3, p. 146-151;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01364.php;mecenaat; J.J.V.M. de Vet, ‘Maecenaat in de pruikentijd’ in Handelingen van het 38e Nederlands Filologencongres 1984 (1985), p. 149-175;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00767.php;dadaïsme; K. Beekman, ‘Dada’ in G.J. van Bork & N. Laan (red.), Van Romantiek tot Postmodernisme (2010), p. 215-218;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04454.php;toneelbewerking-1; L. van der Sanden, 3x van roman naar toneel (2007) .;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02531.php;Alexanderroman; L.J. Engels, ‘Alexander de Grote’ in W.P. Gerritsen & A.G. van Melle (red.), Van Aiol tot Zwaanridder, Personages uit de middeleeuwse verhaalkunst en hun voortleven in literatuur, theater en beeldende kunst (1993), p. 19-30;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02369.php;lied; L.P. Grijp & F. Willaert (red.), De fiere nachtegaal: Het Nederlandse lied in de middeleeuwen (2008);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03804.php;internet; Literatuur en nieuwe media, themanummer van Spiegel der letteren 45 (2003) 4;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01407.php;mysteriespel; R. Woolf, The English Mystery Plays (1972);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01654.php;inventio; S. Schmitz, Die Poetik der Adaptation: literarische 'inventio' im Eneas Heinrichs von Veldeke (2007).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02748.php;sprookje; Sprookjesnummer van Bzzlletin 92 (1982);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03084.php;mimesis; St. Halliwell, The aesthetics of mimesis: ancient texts and modern problems (2002);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03573.php;dieptestructuur/oppervlaktestructuur; T.A. van Dijk, Taal tekst teken (1971), vooral hfst. 8.;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03945.php;narrenliteratuur;M. Kuper, Zur Semiotik der Inversion: verkehrte Welt und Lachkultur im 16. Jahrhundert (1993);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01414.php;nationale bibliografie;"[P.J. Verkruijsse], ‘De Nederlandse en Belgische nationale bibliografie‘ in M. Mathijsen, Naar de letter;"" handboek editiewetenschap (19972), Bijlage 1, p. 433-443.";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00767.php;dadaïsme;‘Dada in Drachten’, speciale aflevering van Trotwaer (1971) 9/10;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00202.php;auteursbibliografie;"‘De auteursbibliografie: ontwikkelingen en vooruitzichten’ in Dokumentaal 13 (1984), p. 1-12, 53-54, 90-94"";"" 14 (1985), p. 6-11";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03584.php;divan;‘Diwan’ in Encyclopedia of Islam, dl. 2 (1965), p. 323-337;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03235.php;thema;‘Du thème en littérature’, themanummer van Poétique (1985);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00758.php;citaat;‘Eigen en vreemd: identiteit en ontlening in taal, literatuur en beeldende kunst’ Handelingen van het 39ste filologencongres (1987);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00811.php;estheticisme;‘Estheticisme’, speciaal nummer van Uitgelezen (1981) 2;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00811.php;estheticisme;‘Estheticisme’, themanummer van Forum der letteren 23 (1982) 2;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02663.php;pseudoniem;‘Gemaskerde schrijvers’, themanummer van Literatuur 20 (2003) 4;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01566.php;plaquette;‘Herdenking Carel Vosmaer’ in Nieuw Letterkundig Magazijn 6 (1988), p. 4-5.;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02257.php;hermetisme;‘Hermeticism in Poetry/Hermétisme et poésie’ in Proceedings ICLA (1985), p. 495-591;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03037.php;spookverhaal;‘Het fantastische’, speciaal nummer van Revisor 8 (1981) 5;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00645.php;Arthurepiek;‘Koning Arthur en de Middeleeuwen’, themanummer van Bzzlletin 124 (1985);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02159.php;manifest;‘Les Manifestes’, themanummer van Littérature (1980);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04387.php;oorlogsliteratuur;‘Nationale snipperdag’, bijzonder nummer van Critisch Bulletin 21 (1954);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00224.php;bibliofilie;‘Proeven van bewerking voor een catalogus van bibliofiele boeken in Nederlands openbaar bezit’ in Open 5 (1973), p. 541-544 (Zilverdistel, Kunera Pers), 6 (1974), p. 148-151 (Halcyon Pers);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01756.php;schrift;‘Schrift en communicatie’, speciaal nummer van Spiegel Historiael 7 (1972) 3;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03229.php;televisiedrama;‘Televisiedrama, speciaal nummer van Toneel/Theatraal 92 (1971) 4;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03234.php;theater-2;‘Theater special’, speciaal nummer van Vooys 24 (2006) 3;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03052.php;surrealisme;‘Treize ans d’études sur le surréalisme’ themanummer van Oeuvres & critiques (1993);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01406.php;museum-2;50 jaar AMVC (1984);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00783.php;draaiboek;A Brunel, Film script: the technique of writing for screen (1948);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01650.php;rariorum;"A cabinet of curiosities: usual items in the Bodleian Library (catalogus"";"" 1998).";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05071.php;steampunk;A. & J. Vandermeer (red.), Steampunk (2008);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00680.php;dierensprookje;A. Aarne, Die Tiere auf der Wanderschaft. Eine Märchenstudie (1913);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00687.php;emblema;A. Adams e.a., A bibliography of French emblem books of the 16th and 17th Centuries, 2 dln (1999-2002);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02245.php;ghazel;A. Ahmad (red.), Ghasals of Ghalib (1971);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01113.php;grammatica;A. Aikhenvald, The art of grammar: a practical guide (2015);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00919.php;gender studies;A. Andeweg & E. Blom, Literatuurwijzer genderstudies in de neerlandistiek (1995);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00894.php;gothic novel;A. Andeweg, Griezelig gewoon. Gotieke verschijningen in Nederandse romans, 1980-1995 (diss., 2011);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01732.php;rococo;A. Anger, Literarisches Rokoko (19732);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03674.php;Frankfurter Schule;A. Arato & E. Gebhardt (red.), The essential Frankfurt School reader (1978);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03380.php;expressionisme;A. Arnold, Die Literatur des Expressionismus (19712);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00812.php;exilliteratuur;A. Arslan, Das Exil vor dem Exil. Leben und Wirken deutscher Schrift­steller in der Schweiz während des Ersten Weltkrieges (2004);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03551.php;culturele studies;A. Assmann, Introduction to cultural studies. Topics, concepts, issues (22019).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01552.php;petrarkisme;A. Aurnhammer, Francesco Petrarca in Deutschland. Seine Wirkung in Literatur, Kunst und Musik (2006);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00797.php;egodocument;A. Baggerman & R. Dekker (red.), Egodocumenten: nieuwe wegen en benaderingen (2004);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02575.php;leescultuur;"A. Baggerman, Over leven, lezen en schrijven; de bandbreedte van boekgeschiedenis (2011)";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03053.php;symbolisme;"A. Balakian (red.), The symbolist movement in the literature of European languages (1982;"" reprint 1984)";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03053.php;symbolisme;"A. Balakian, The symbolist movement (1967; reprint 1984)";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00774.php;decadentie;"A. Balakian, The symbolist movement (1967;"" repint 1984)";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03484.php;cenakel;A. Balakian, The Symbolist movement in the literature of European languages (1982), chap. 2: The French cénacle;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04121.php;runen(liederen);A. Bammesberger (red.), Old Englisch runes and their continental background (1991);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00624.php;vrije indirecte rede;A. Banfield, Unspeakable sentences: narration and representation in the language of fiction (1982);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03609.php;empirische literatuurwetenschap;A. Barsch e.a., Empirische Literaturwissenschaft - Diskussion, Erweiterung, Innovation, themanummer van SPIEL (1993);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00637.php;anekdote;A. Bas & J. de Jong, ‘De anekdote als stijlmiddel in toespraakinleidingen’ in Tijdschrift voor taalbeheersing 27 (2005), p. 172-197.;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04850.php;frame;A. Beck, Geselliges Erzählen in Rahmenzyklen: Goethe, Tieck, E.T.A. Hoffman (2008);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01569.php;Pleiade;A. Beekman, Influence de Du Bartas sur la littérature néerlandaise (1912);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04204.php;tanka;A. Beenackers, Oude emmer, verhoor mijn gebed: 150 poëziebesprekingen: 500 haiku’s, tanka’s en dichtregels (2005).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00982.php;kortverhaal;A. Bendixen & J. Nagel (red.), A companion to the American short story (2009);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00037.php;auteur;A. Bennett, The author (New critical idiom) (2004);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00948.php;humor;A. Berger & W. Fry (red.), An anatomy of humor (1993);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01704.php;literatuurgeschiedenis;A. Berteloot e.a. Niederländische Literaturgeschichte (2006);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01096.php;gidsdocumentatie;A. Berteloot, Bijdrage tot een klankatlas van het dertiende-eeuwse Middelnederlands, 2 dln (1984);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02533.php;middeleeuwse literatuur;A. Berthelot, Histoire de la littérature française du moyen âge (1989);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01154.php;hoofse literatuur;A. Berthelot, Le roman courtois: une introduction (20052).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02400.php;metriek;A. Binder e.a. (red.), Einführung in Metrik und Rhetorik (1976);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00941.php;historische roman;A. Blok e.a. (red.), De historische roman (1988);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03586.php;docudrama;A. Blumer, Das dokumentarische Theater der sechsiger Jahre in der Bundesrepublik Deutschland (1977);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00225.php;bibliografie;A. Boekhorst e.a., Informatievaardigheden (20043).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02765.php;utopische literatuur;A. Boesky, Founding fictions. Utopias in early modern England (1997);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03584.php;divan;A. Bohnenkamp & A. Bosse, ‘West-östlicher Divan’ in Goethe-Handbuch, dl. 1 (1996), p. 306-334;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00832.php;feuilleton;A. Boon-de Gouw, ‘Feuilletons in de Rotterdamse pers in de jaren 1880-1920’ in themanummer Literatuur als bron voor sociale geschiedenis, Tijdschrift voor sociale geschiedenis 10 (1984) 3, p. 291-314;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02967.php;volkslied-1;A. Boone, Het Vlaamse volkslied in Europa, 2 dln (1999);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04340.php;pop-up;A. Borms, ‘Beweegbare prentenboeken’ in De Boekenwereld 12 (1996), p. 211-221;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03319.php;centsprent;A. Borms, Centsprenten: massaproduct tussen heiligenprent en stripverhaal (2010);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04480.php;volksprent;A. Borms, Centsprenten: massaproduct tussen heiligenprent en stripverhaal (2010);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03584.php;divan;A. Bosse, ‘Meine Schatzkammer füllt sich täglich’ … Die Nachlassstücke zu Goethes ‘West-östlicher Divan’, 2 dln. (1999).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01430.php;Nil volentibus arduum;A. Bossers, ‘Nil volentibus arduum en Vondel’ in Spektator 8 (1978-1979), p. 95-103;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03859.php;langue/parole;A. Bossuyt, 'Langue/parole en competence/performance' in Forum der letteren 18 (1977), p. 6-14;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03116.php;pastiche-2;A. Bouillaguet, L’écriture imitative: pastiche, parodie, collage (1996);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02863.php;stock-1;A. Bourquet, ‘De “stok” van het referein’ in Tijdschrift voor levende talen 12 (1946), p. 95-106.;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01718.php;retorica;"A. Braet (red.), Taalbeheersing als nieuwe retorica; een historisch, programmatisch en bibliografisch overzicht (1980), p. 7-45";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03052.php;surrealisme;A. Breton & P. Éluard, Onbevlekte ontvangenis (vert., 2010);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02159.php;manifest;"A. Breton, Manifestes du surréalisme (1965"";"" vernieuwde druk 1985)";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02737.php;roman;A. Brink, The novel. Language and narrative from Cervantes to Calvino (1997);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03692.php;gelijkenis;A. Brouwer, De gelijkenis (1946);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00947.php;humanisme;A. Buck, Humanismus. Seine europäische Entwicklung in Dokumenten und Darstellungen (1987);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01697.php;renaissance;A. Buck, Renaissance und Barock: Neues Handbuch der Literaturwissenschaft, 2 dln. (1972);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00813.php;exotische literatuur;A. Buisine, L’orient voilé (1993);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02258.php;heroïsch vers;A. Burrell, A book of heroic verse (1920);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00363.php;contractie-2;A. Cappelli, Dizionario di abbreviature latine ed italiane (1973);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01793.php;sigle-1;A. Cappelli, Dizionario di abbreviature latine ed italiane (1973);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01924.php;suspensie-1;A. Cappelli, Dizionario di abbreviature latine ed italiane (1973);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03441.php;ballet;A. Carter & J. O'Shea (red.), The Routledge dance studies reader (2010);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03441.php;ballet;A. Carter, Dance and dancers in the Victorian and Eduardian music hall ballet (2005);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03860.php;l'art pour l'art;"A. Cassagne, La théorie de l’art pour l’art en France chez les derniers romantiques et les premiers réalistes (1997;"" 1906)";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02997.php;zangspel;A. Ceulemans, P. Couttenier & J. Kats, Verklankt verleden: Vlaamse muziektheaterwerken uit de negentiende eeuw (1830-1914) (2010).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00309.php;catalogus-1;A. Charon, Cl. Lesage & E. Netchine, Le livre entre le commerce et l'histoire des idées. Les catalogues de libraires (XVe-XIXe siècle) (2011).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02072.php;cesuur;A. Chevrier, Le décasyllabe à césure médiane: histoire du taratantara (2011).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02109.php;decasyllabe;A. Chevrier, Le décasyllabe à césure médiane: histoire du taratantara (2011).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05369.php;tractatio;A. Cizek, Imitatio et tractatio (1994);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00932.php;gongorisme;A. Collard, Nueva poesia: conceptismo, culteranismo en la critica española (1967);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00673.php;conceptismo;A. Collard, Nueva poesía: conceptismo, culteranismo en la crítica española (1967);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02057.php;brevitas;A. Compagnon, ‘La brièveté de Montaigne’ in J. Lafond (red.), Les formes brèves de la prose et le discours discontinu (XVIe-XVIIe siècles) (1984), p. 9-25;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04004.php;paratekst;A. Compagnon, La seconde main (1979);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00947.php;humanisme;A. Constandse, Geschiedenis van het humanisme in Nederland (1967);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00859.php;genie;A. Costazza, Genie und tragische Kunst. Karl Philipp Moritz und die Ästhetik des 18. Jahrhunderts (1999);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00351.php;concordantie-1;A. Crosland, ‘The concordance as an aid in the historical study of literature’ in Style (1977), p. 274-283;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02913.php;unanimisme;A. Cuisenier, Jules Romains: l'unanimisme et Les hommes de bonne volonté (1969);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01633.php;puritas;A. Curzan, Fixing English. Prescriptivism and language history (2014).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02438.php;mora;A. Cutler & T. Otake, 'Rhythmic caregories in spoken-word recognition' in Journal of memory and language 46 (2002) 2, p. 296-322.;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02684.php;mythe;A. Dabezies, ‘Mythes anciens, figures bibliques, mythes littéraires’ in Revue de littérature comparée 309 (2004) 1, p. 3-22;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00632.php;abel spel;A. Dabrówka, Untersuchungen über die mittelniederländischen Abele Spelen (Herkunft - Stil - Motive) (1987);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01984.php;transmissiefout;A. Dain, Les manuscrits (19753);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00415.php;dictée intérieure;A. Dain, Les manuscrits (19753), p. 15-55;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00416.php;dicteerfout;A. Dain, Les manuscrits (19753), p. 15-55;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00414.php;dictaat;A. Dain, Les manuscrits (19753), p. 15-55.;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01745.php;saut du même au même;A. Dain, Les manuscrits (19753), p. 48-49;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02727.php;romantiek;A. Day, Romanticism (20122);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00757.php;censuur;A. de Baets e.a. (red.), De marge van de vrijheid: over censuur, zelfcensuur en tolerantie (2002);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04710.php;censor;A. de Baets e.a. (red.), De marge van de vrijheid: over censuur, zelfcensuur en tolerantie (2002).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04508.php;zelfcensuur;A. de Baets, W.E.M. Krul & S. van Voorst (red.), De marge van de vrijheid: over censuur, zelfcensuur en tolerantie (2002);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01219.php;juweel;"A. de Bruin, De schatten der Pellicanisten: over de blazoenen, het glas- en zilverwerk, en de wandtapijten, van de Haarlemse rederijkerskamer ""Trou moet Blycken"" (2001).";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02540.php;neorealisme;A. de Feijter, ‘De geschiedenis van Gard Sivik: De overgang van een experimentele naar een nieuw-realistische poëtica in Nederland en Vlaanderen’ in R. Grüttemeier & J. Oosterhout (red.), Een of twee Nederlandse literaturen? Contacten tussen Nederlandse  en Vlaamse literatuur sinds 1830 (2008), p. 157-182;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04135.php;semantiek;A. de Feijter, ‘Poëzieanalyse’ in P. Zeeman (red.), Literatuur in context (1991), p. 59-96;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04106.php;referentialiteit;A. de Feijter, Het boek slaat haar ogen op: overwegingen bij esthetische autonomie (1996).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03832.php;kabbala;"A. de Feijter,  ""Apocrief/de analphabetische naam"": het historisch debuut van Lucebert in het licht van de intertekst van Joodse mystiek en Hölderlin (diss., 1994)";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04765.php;pantomime;A. de Haas & F. Vogels, Mime handbook (1994);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00759.php;climax-2;A. de Haas, De wetten van het treurspel. Over ernstig toneel in Nederland, 1700-1772 (1998);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01976.php;tragedie;A. de Haas, De wetten van het treurspel. Over ernstig toneel in Nederland, 1700-1772 (1998);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04536.php;initiaal-3;"A. de Kempenaer, Vermomde Nederlandsche en Vlaamsche schrijvers (1928""; reprint 1970)";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02663.php;pseudoniem;"A. de Kempenaer, Vermomde Nederlandsche en Vlaamsche schrijvers (1928;"" reprint 1970)";
